PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,SampleRatio,PlateCutoff
RESULT_TYPE,,,,,,,,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Ratio of median channel fluorescence of test sample to DMSO control,Average plus five standard deviations of the SampleRatios on a particular assay plate
RESULT_UNIT,,,,,,,,PERCENT,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,,10,
110,26728487,2810317,CN1C(=CC=C1S(=O)(=O)NCC2=CC=C(C=C2)OC)C(=O)OC,Inactive,0,,,102.25,215
111,57256898,9400565,CC1=C(OC2=CC=CC=C12)C(=O)NC3=CC4=C(C=C3)N=C(S4)N5CCOCC5,Inactive,0,,,108.99,215
112,22401602,2444823,CN(C)S(=O)(=O)C1=CC(=C(C=C1)N2CCCC2)C(=O)NC3=NC4=C(S3)C=CC5=CC=CC=C54,Inactive,0,,,107.87,215
113,24834206,4193532,C1C2CC3CC1CC(C2)(C3)NC(=O)CSC4=C(C=CC=N4)C(=O)O,Inactive,0,,,104.49,215
114,22401062,2513077,CC(=O)C1=CC(=C(C=C1)OC)CSC2=NC3=C(C=CC(=C3)C(=O)O)C(=O)N2CC4=CC=CC=C4,Inactive,0,,,97.75,215
115,26662010,1839774,CN1C=C(C(=N1)C(=O)NC2=C(C3=C(S2)CCC3)C#N)Br,Inactive,0,,,105.62,215
116,17507921,5443674,C1CCC(CC1)NC(=O)/C(=C\C2=CC=C(O2)C3=CC=C(C=C3)Br)/C#N,Inactive,0,,,128.09,215
117,24829267,4554199,CC1=C(C2=CC=CC=C2N1)C(=O)C(C)OC(=O)C3=CC=C(O3)[N+](=O)[O-],Inactive,0,,,87.64,215
118,17506519,1563234,CCCOC(=O)C1=CC(=CC=C1)NC(=O)COC2=CC=C(C=C2)[N+](=O)[O-],Inactive,0,,,102.25,215
119,17388253,3216574,CC1=CC(=NO1)NC(=O)CCC(=O)N(CC2CCCO2)C(C3=CC=C(C=C3)OC)C(=O)NC(C)(C)C,Inactive,0,,,100,215
120,17504074,7441600,C1=CC=C2C(=C1)N=C(S2)/C(=C\C3=CC=CO3)/C#N,Inactive,0,,,98.88,215
121,26732226,16746392,CCCCCC1=CC(=O)OC2=C1C(=CC(=C2C(CCN3CCCC(C3)C)C4=CC=C(C=C4)N(C)C)OC)OC,Inactive,0,,,100,215
122,22406361,4829683,C1CN(CCN1CC(COCC2=CC=CS2)O)C3=CC=CC(=C3)C(F)(F)F,Inactive,0,,,105.62,215
