PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Dose-response
RESULT_TYPE,,,,,,,,STRING
86,864897,666145,COC1=C(C=C2C(=C1)CCN3C2=CC(=NC3=O)OCC4=CN=CC=C4)OC,Active,40,,,yes
87,14728361,1234419,CCC1=C(C(=O)N2C(=NN(C2=N1)C3=CC=C(C=C3)Cl)C(=O)OCC)C#N,Active,40,,,yes
88,17407771,1732761,C=CCNC1=NC(=C(S1)C(=C(C#N)C#N)C2=CC=CC=C2)N,Active,40,,,yes
89,861172,5389516,CC1=C(C(=CC2=C1OC(=O)C3=C2CCC3)CN4CCCCC4)O,Active,40,,,yes
90,49648609,24747858,CC1=CC2=C(C=C1C)OC3=C(C2=O)C=CC(=C3)NCCC4CCCN4C,Active,40,,,yes
91,862163,663388,CC(C)OCCCN1C2=C(C=C(C1=NC(=O)C3=CC=NC=C3)C#N)C(=O)N4C=CC=CC4=N2,Active,40,,,yes
92,14741410,3438088,C=CCOC1=CC=C(C=C1)C2C3(C(=N)OC4(O2)CCCCC4C3(C#N)C#N)C#N,Active,40,,,yes
93,4260768,5322315,C1CCC2=C(C1)C3=C(C=C(C=C3)O)OC2=O,Active,40,,,yes
94,14726798,1076248,C=CCN(C1=NN=C(S1)C2=CC=NC=C2)C(=O)COC3=CC=CC=C3,Active,40,,,yes
95,849050,651516,CN(C1=NN=C(S1)C2=CC=CC=N2)C(=O)C3CCCO3,Active,40,,,yes
96,860980,5389480,CC1=C(C(=O)OC2=C(C(=C(C=C12)Cl)O)CN3CCCCC3)C,Active,40,,,yes
97,865385,666640,CC1=CN2C(=NC3=C(C2=O)C=C(C(=O)N3CC4CCCO4)C#N)C=C1,Active,40,,,yes
98,4241369,762544,C1=CC(=CC=C1C2=NC3=C(N2)C=CC(=C3Cl)N)N,Active,40,,,yes
99,847117,649519,CN(C1=NN=C(S1)C2=CC=CC=N2)C(=O)C3=CC=NC=C3,Active,40,,,yes
100,14724995,718321,C1CC2=C(C1)C(=O)OC3=C2C=CC(=C3)OC(=O)C4=CC=CO4,Active,40,,,yes
101,4244782,3239334,CC1CCCN(C1)CCCNC(=O)C2=COC3=NC4=CC=CC=C4N=C23,Active,40,,,yes
102,858582,659889,C1=CC=C2C(=C1)N=C3C(=C(N(C3=N2)CCNC(=O)C4=CC=CS4)N)C#N,Active,40,,,yes
103,857685,659045,CC(=O)C1=CC=C(O1)C2=NC3=CC=CC=C3N2C,Active,40,,,yes
104,863946,5389927,CC1=C(C(=CC2=C1OC(=O)C3=C2CCCC3)CN4CCCC4)O,Active,40,,,yes
105,14743189,2019433,CC1=COC(=N1)NC(=O)CSC2=C(C(=CC(=N2)C3=CC=C(C=C3)OC)C(F)(F)F)C#N,Active,40,,,yes
106,862551,663780,CC1=CN2C(=NC3=C(C2=O)C=C(C(=N)N3CCCOC(C)C)C(=O)NCC4CCCO4)C=C1,Active,40,,,yes
107,14722375,774879,C1=CC(=C(C=C1C2=NC3=C(N2)C=C(C=C3)N)Cl)N,Active,40,,,yes
108,14742449,3485622,COC1=CC=C(C=C1)C2C3(C(=N)OC4(O2)CCCCC4C3(C#N)C#N)C#N,Active,40,,,yes
109,4245495,3239960,COC1=CC2=NC3=C(C=C2C=C1)C=C(O3)C(=O)NCC4CCCO4,Active,40,,,yes
110,17413918,5513690,CC1=C(C=CC2=C1OC(=O)C=C2CC(=O)OC)O,Active,40,,,yes
111,14727726,848533,CCOC(=O)C1=CC2=CC3=CC=CC=C3C=C2N1,Active,40,,,yes
112,4245348,3239827,CN1C(=CC2=C1N=C3C=CC=CN3C2=O)C(=O)NCC4=CC=CC=N4,Active,40,,,yes
113,857934,600284,CC1=CC(=O)NC2=C1C=CC(=C2)OC(=O)C,Active,40,,,yes
114,844843,647177,CN(C1=NN=C(S1)C2=CC=CC=N2)C(=O)COC,Active,40,,,yes
115,24791276,135433200,COC1=CC=CC(=C1)/C=C/C2=NC3=C(C=NN3C4=CC=CC=C4)C(=O)N2,Active,40,,,yes
116,14730975,2245505,COC(=O)/C(=C/NC1=CC=CC2=CC=CC=C21)/[N+](=O)[O-],Active,40,,,yes
117,4242554,3237391,CCOCC(=O)NC1=C(C=CC(=C1)C2=CN3C=CC=NC3=N2)C,Active,40,,,yes
118,14731861,2146209,CC1=NN(C=C1)C(=O)C2=CC3=C(C=CC(=C3)OC)OC2=O,Active,40,,,yes
119,7975319,979757,CCC1=CC2=C(C(=C1O)CN(C)C)OC(=C(C2=O)OC3=CC=CC=C3F)C,Active,40,,,yes
120,4246294,3240665,C1CCC2=C(C1)N=C(S2)NC3=NC4=C(S3)C=C(C=C4)F,Active,40,,,yes
121,14737798,3287048,CC(C)NC(=O)C1=CC2=C(O1)N=C3C=C(C=CC3=C2)OC,Active,40,,,yes
