smiles,new_category
COC1=CC=C(C=C1)N2C=C(C=C(C2=O)C#N)C(=O)C3=C(C=CC(=C3)Cl)O,0.0
C[C@H]1CN(C(=O)C2=C(C=CC(=C2)NC(=O)NC3=C(ON=C3C)C)O[C@@H]1CN(C)C(=O)NC(C)C)[C@H](C)CO,0.0
CC1=C(C=CO1)C(=O)N/N=C(\C)/C2=CN=CC=C2,0.0
COC1=CC=C(C=C1)N2C(=O)C3=C(N=C2SCC(=O)O)SC4=C3CCC4,0.0
CCC(CCC(=O)NC1=NN=CS1)(C(=O)OCC)C(=O)OCC,0.0
CC1=CC=C(C=C1)NC(=O)CN(C)C(=O)COC2=CC=C(C=C2)Br,0.0
C1CC(OC1)C(=O)N2CCN(CC2)C(=O)NC3=CC4=C(C=C3)OCO4,1.0
CC1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)C(=O)/C=C/C3=CC=CS3,0.0
C1=COC(=C1)C2=NN(C(=N2)N)C(=O)C3=CC=C(C=C3)F,0.0
CC(=O)NC1(CCN(CC1)C(=O)NC2=CC=C(C=C2)C#N)C3=CC(=CC=C3)F,0.0
CC(=O)NC1=CC(=CC=C1)NC(=O)C2=CC=CO2,0.0
CCN(CC)S(=O)(=O)C1=CC(=C(C=C1)C)NC(=O)CNCCN(C(C)C)C(C)C.C(=O)(C(=O)O)O,0.0
CCN1C/C(=C\C2=CC=CS2)/C3=C(C1)C(C(=C(O3)N)C#N)C4=CC=CS4,0.0
CN1C=CC=C1C(=O)NC2=NC=CS2,0.0
CC1=CN=C(C=N1)C(=O)NC2=NC=CS2,0.0
CC(C1=CC=CC=C1)NC(=O)C2=CC=CC=C2NC(=O)CN3CCC4=CC=CC=C4C3,0.0
C1CN(CCN1C2=CC=CC=C2)C3=NN4C(=CC=NC4=N3)C5=CC=C(C=C5)F,0.0
CC1=NC(=CC=C1)NC(=O)NC2=CC=CC(=N2)C,0.0
C(CC(=O)O)[C@@H](C(=O)O)N,0.0
